patent_id,title,abstract,ipc_codes,cpc_codes,cites,cited_by,publication_year
134-173-240-559-159,MANUFACTURING METHOD OF SiC COMPOSITE SUBSTRATE,"A manufacturing method of an SiC composite substrate 10 that includes a single crystal SiC layer 12 on a polycrystalline SiC substrate 11. After manufacturing a single crystal SiC layer supporting body 14 by providing the single crystal SiC layer 12 on one surface of a holding substrate 21 including Si. A polycrystalline SiC is deposited on the single crystal SiC layer 12 through chemical vapor deposition to manufacture an SiC laminated body 15 laminated with the single crystal SiC layer 12 and the polycrystalline SiC layer 11 having a thickness t on the holding substrate 21′. At the same time, the single crystal SiC layer supporting body 14 is heated at a temperature less than 1,414 degrees Celsius, and a portion of the thickness t of the polycrystalline SiC is deposited. Then, the holding substrate 21′ is physically and/or chemically removed.",C30B33/06; C23C16/01; C23C16/32; C30B25/18; C30B29/36,C30B33/06; C23C16/01; C23C16/42; C30B25/18; C30B25/186; C30B29/36; H10P90/1904; C23C16/01; C23C16/325; C23C28/04; C23C28/42; C23C28/44; C30B25/20; C30B25/22; C30B29/36; C30B29/68; H01L21/205; H01L21/205; H01L21/205; H10D8/30; H10D8/50; H10D8/60; H10D12/411; H10D30/00; H10D62/81; H10P14/20; H10P14/24; H10P14/3208; H10P14/3238; H10P14/3408; H10P14/3456; H10P14/36; H10P30/20; H10P90/1916; H10W10/181; C30B33/06; C23C16/01; C23C16/325; C23C16/42; C30B25/18; C30B25/186; C30B29/36,,031-190-948-512-305; 060-230-795-843-570; 026-453-356-598-628; 132-312-629-138-007; 062-645-966-004-067; 025-489-092-538-629; 145-395-671-797-274; 093-520-929-783-781; 166-509-258-604-525; 138-709-824-546-974; 114-330-768-626-541; 069-310-158-177-074; 131-612-076-693-067; 158-231-295-013-261; 182-847-613-884-376; 176-554-839-852-16X; 035-717-546-023-959; 172-341-369-523-542; 085-377-298-374-172; 083-451-991-683-782; 092-360-450-769-893; 197-358-932-959-846; 110-452-329-707-868; 192-253-263-352-074; 138-053-776-105-517; 103-768-632-008-338; 102-542-201-818-648; 049-543-894-916-99X; 117-757-977-153-041; 155-222-463-672-132,2018
072-656-804-184-823,FLEXIBLE DISPLAY SUBSTRATE AND FLEXIBLE DISPLAY APPARATUS,"A flexible display substrate and a flexible display apparatus are provided. The flexible display substrate has a display region including a plurality of pixel units and a peripheral region adjacent to the display region. The flexible display substrate includes a substrate and at least one conductive wire disposed on the substrate, each conductive wire includes at least two first conductive portions and at least one second conductive portion, and two adjacent first conductive portions are electrically connected through the second conductive portion. The Young's modulus of the first conductive portions is greater than that of the second conductive portion, and the resistivity of the first conductive portions is less than that of the second conductive portion.",H10K99/00,H10K59/40; H01L27/3297; H01L27/3297; H01L27/3297; H10K59/131; H10K2102/311; H10K77/111; H10K59/131; H10K59/40; H10K2102/311; Y02E10/549; H10K77/111; H10K59/131; H10K59/40; H10K2101/00; H10K2102/311,,119-133-625-415-914; 002-761-637-722-369; 072-858-310-490-981; 046-053-557-840-41X; 019-300-044-797-213; 062-618-929-620-860; 110-772-566-102-005; 034-280-497-338-376,2018
191-672-423-051-423,FLEXIBLES ANZEIGESUBSTRAT UND FLEXIBLE ANZEIGEVORRICHTUNG,"Es werden ein flexibles Anzeigesubstrat und eine flexible Anzeigevorrichtung bereitgestellt. Das flexible Anzeigesubstrat hat einen Anzeigebereich mit einer Vielzahl von Pixeleinheiten und einen an den Anzeigebereich angrenzenden Randbereich. Das flexible Anzeigesubstrat umfasst ein Substrat und mindestens eine auf dem Substrat angeordnete leitfähige Leitung, wobei jede leitfähige Leitung mindestens zwei erste leitfähige Abschnitte und mindestens einen zweiten leitfähigen Abschnitt umfasst und zwei benachbarte erste leitfähige Abschnitte über den zweiten leitfähigen Abschnitt elektrisch miteinander verbunden sind. Das Elastizitätsmodul der ersten leitfähigen Abschnitte ist größer als das des zweiten leitfähigen Abschnitts, und der Widerstand der ersten leitfähigen Abschnitte ist kleiner als der des zweiten leitfähigen Abschnitts.",G09F9/30; G02F1/1333; G02F1/1343; G02F1/1345; H10K99/00,H10K59/40; H01L27/3297; H01L27/3297; H01L27/3297; H10K59/131; H10K2102/311; H10K77/111; H10K59/131; H10K59/40; H10K2102/311; Y02E10/549; H10K77/111; H10K59/131; H10K59/40; H10K2101/00; H10K2102/311,,,2018
192-213-755-055-838,"전하 수송 염, 전자 소자 및 그의 제조 방법","하기 화학식 (I)의 반복 단위를 포함하고 이의 양이온 또는 음이온 기의 전하와 균형을 이루는 카운터이온을 추가로 포함하는 물질 및 n-도판트(dopant)로부터 제조되는 전하 수송 염:(I) 상기 식에서, BG는 반복 단위의 골격(backbone) 기이고, R은 하나 이상의 양이온 또는 음이온 기를 포함하는 이온성 치환체이고, R은 비이온성 치환체이고, m은 0 또는 양의 정수이다.",C08G61/02; H10K99/00; C07D235/18; H01B1/12,C08G61/02; C07D235/18; C08G2261/124; C08G2261/1412; C08G2261/1424; C08G2261/1426; C08G2261/143; C08G2261/148; C08G2261/314; C08G2261/3142; C08G2261/411; C08G2261/514; C08G2261/5222; C08G2261/792; C08G2261/95; C08L2205/02; C09K11/06; H01B1/128; H10K50/165; H10K50/171; H10K71/12; H10K71/15; H10K85/111; H10K85/115; H10K85/611; C07D235/14; C09K11/06; H01L51/5052; H01L51/5052; H01L51/5052; H10K50/171; H10K71/15; H10K85/141; H10K85/6572; C07D235/18; C08G61/02; C08G2261/143; C08G2261/514; C08G2261/5222; C08L65/00; C08L101/025; H10K50/171; H10K71/15; H10K85/111; H10K85/115; H10K85/6572; C08G61/02; C07D235/18; C08G2261/1424; C08G2261/1426; C08G2261/143; C08G2261/148; C08G2261/3142; C08G2261/514; C08G2261/95; C08L101/025; C09K11/06; H01B1/128; H10K50/171; H10K71/00; H10K71/15; H10K71/441; H10K85/115; H10K85/611; H10K85/6572; H10K2101/30; H10K2102/103,,,2018
100-380-645-395-859,"도판트, 전하-전달 염 및 유기 전자 장치","본 발명은 하기 화학식 I의 화합물에 관한 것이다: [화학식 I] (코어)n-(X)m 상기 식에서, 코어는 코어 기이고; n은 0이고 m은 1이거나, n은 1이고 m은 1 이상이고; X는 하기 화학식 II의 기이다: [화학식 II]상기 식에서, R, R, R, R및 R는 각각 독립적으로 H 또는 치환기이고; R내지 R중 하나는 화학식 II의 기를 n이 1인 경우의 코어에 연결하는 직접 결합 또는 2가 연결기이고; x는 0, 1, 2, 3 또는 4이고; y는 0, 1, 2, 3 또는 4이고; 화학식 I의 화합물은 하나 이상의 이온성 치환기로 치환된다. 상기 화합물은 유기 반도체를 도핑하는 n-도판트로서 사용될 수 있다.",C07D235/18; H10K99/00; C08G61/02; C08L65/00; C08L101/02,C08G61/02; C07D235/18; C08G2261/124; C08G2261/1412; C08G2261/1424; C08G2261/1426; C08G2261/143; C08G2261/148; C08G2261/314; C08G2261/3142; C08G2261/411; C08G2261/514; C08G2261/5222; C08G2261/792; C08G2261/95; C08L2205/02; C09K11/06; H01B1/128; H10K50/165; H10K50/171; H10K71/12; H10K71/15; H10K85/111; H10K85/115; H10K85/611; C07D235/14; C09K11/06; H01L51/5052; H01L51/5052; H01L51/5052; H10K50/171; H10K71/15; H10K85/141; H10K85/6572; C07D235/18; C08G61/02; C08G2261/143; C08G2261/514; C08G2261/5222; C08L65/00; C08L101/025; H10K50/171; H10K71/15; H10K85/111; H10K85/115; H10K85/6572; C08G61/02; C07D235/18; C08G2261/1424; C08G2261/1426; C08G2261/143; C08G2261/148; C08G2261/3142; C08G2261/514; C08G2261/95; C08L101/025; C09K11/06; H01B1/128; H10K50/171; H10K71/00; H10K71/15; H10K71/441; H10K85/115; H10K85/611; H10K85/6572; H10K2101/30; H10K2102/103,,139-009-732-797-919,2018
123-427-578-614-993,Flexible display substrate and flexible display apparatus,"A flexible display substrate and a flexible display apparatus are provided. The flexible display substrate has a display region including a plurality of pixel units and a peripheral region adjacent to the display region. The flexible display substrate includes a substrate and at least one conductive wire disposed on the substrate, each conductive wire includes at least two first conductive portions and at least one second conductive portion, and two adjacent first conductive portions are electrically connected through the second conductive portion. The Young's modulus of the first conductive portions is greater than that of the second conductive portion, and the resistivity of the first conductive portions is less than that of the second conductive portion.",H10K99/00,H10K59/40; H01L27/3297; H01L27/3297; H01L27/3297; H10K59/131; H10K2102/311; H10K77/111; H10K59/131; H10K59/40; H10K2102/311; Y02E10/549; H10K77/111; H10K59/131; H10K59/40; H10K2101/00; H10K2102/311,038-944-580-808-599; 088-591-497-032-905; 068-717-894-329-441; 044-882-338-126-035,137-698-668-055-067; 082-947-702-613-626; 157-468-580-644-440,2018
093-217-502-510-889,Process of forming nitride semiconductor layers,"A process of forming a semiconductor device by use of a MOCVD technique is disclosed. The semiconductor device, which is made of primarily nitride semiconductor materials, includes a GaN channel layer, an AlGaN barrier layer, and a GaN cap layer on a substrate. The barrier layer and the cap layer are grown under a gradient temperature condition where the upstream side of the substrate with respect to the flow of the MOCVD source gases is at a higher temperature as compared with the temperature at the downstream side of the substrate with respect to the flow of the source gases.",H01L21/02; C23C16/30; C23C16/458; C23C16/46; H01L21/67; H01L21/687; H01L29/10; H01L29/20; H01L29/205; H01L29/66; H01L29/778,H01L21/205; H01L21/205; H01L21/205; C23C16/34; H10D62/8503; H10P14/3416; C23C16/303; C23C16/4583; C23C16/46; H10D30/015; H10D30/4755; H10D62/8503; H10D62/854; H10P14/24; H10P14/2904; H10P14/3216; H10P72/7621; H10P14/3416; C23C16/303; C23C16/458; C23C16/4583; C23C16/46; H10D30/015; H10D30/4755; H10D62/328; H10D62/824; H10D62/8503; H10D62/854; H10P14/24; H10P14/2904; H10P14/3216; H10P72/0432; H10P72/7621; H10P72/7624,090-487-703-821-852; 045-609-494-614-179; 111-827-087-472-588; 061-498-656-377-85X; 191-946-412-153-93X; 167-336-546-601-058,169-535-928-636-947,2018
122-995-844-313-771,METHOD FOR MANUFACTURING EPITAXIAL WAFER,"An embodiment comprises the steps of: acquiring an ESFQD of a base substrate; calculating an ESFQD average of the base substrate on the basis of the acquired ESFQD; classifying the shape of the base substrate on the basis of the calculated ESFQD average; and setting a delta ESFQD average for an epitaxial layer to be grown on the classified base substrate in correspondence with the shape of the classified base substrate, wherein the delta ESFQD average is obtained by subtracting the acquired ESFQD average of the base substrate from the ESFQD average of the epitaxial substrate to be grown.",H01L21/20; H01L21/02; H01L21/66; H01L21/673,H10P90/128; C23C16/52; C30B25/18; H10P74/203; H01L21/2018; H01L21/2018; H01L21/2018; H10P14/6349; H10P72/18; H10P74/203; H10P90/128,036-296-266-455-304; 161-281-547-779-663; 198-763-948-443-938; 079-615-529-166-594; 196-465-498-831-82X,,2018
048-166-396-231-683,Verfahren zur Herstellung eines Substrates mit einer bordotierten Oberfläche.,"Verfahren zur Herstellung eines Substrats mit zumindest einer, zumindest in einem Teilbereich bordotierten Oberfläche mit folgenden Schritten: Bereitstellen eines Substrats, das in einem vorbereitenden Schritt in eine Vakuumbehandlungsanlage eingebracht und dort, mittels eines PVD- oder eines paCVD-Verfahrens mit einer borhaltigen ersten Schicht behandelt wurde; Tempern des Substrats zum Diffundieren des Bors in die Oberfläche. Wafer mit einer borhaltigen Oberfläche, hergestellt nach einem solchen Verfahren. Des Weiteren wird ein Sputterverfahren zur Abscheidung einer ersten borhaltigen Schicht oder eines Schichtsystems auf einem Substrat beansprucht, das in einer Vakuumbehandlungskammer gegenüber einem borhaltigen Träger angeordnet wird, wobei das Target eine kovalente Borverbindung umfasst und der Sputterprozess durch Anlegen einer hochfrequenten Spannung in einer Inertgas- und/oder Stickstoffatmosphäre erfolgt. Wafer mit einem auf einer ersten Oberfläche angebrachten Schichtsystem, mindestens eine borhaltige Schicht umfassend, die mit dem Sputterverfahren hergestellt wird.",H01L21/203; C23C14/06; C23C14/35,H01L21/203; H01L21/203; H01L21/203; C23C14/14; C23C14/35; C23C14/067; C23C14/0647; H10F10/148; H10F71/121; H10P32/1408; H10P32/141; H10P32/171; Y02E10/547; Y02P70/50,116-630-782-023-736; 188-967-495-548-930; 081-338-604-785-635; 129-355-566-704-076; 016-448-417-762-358; 168-817-149-322-294; 124-480-595-033-807; 158-653-063-241-265; 008-938-624-651-871,,2018
116-828-723-479-729,Method and structure for growing gallium nitride thin film on silicon substrate and power device,"The invention discloses a method and structure for growing a gallium nitride thin film on a silicon substrate and a power device. The method includes the following steps: growing first and second aluminum nitride layers and a buffer layer between a gallium nitride thin film and a silicon substrate as intermediate layers to further suppress a reaction between gallium and silicon; and moreover, growing a buffer layer between the second aluminum nitride layer and the gallium nitride thin film to ensure that the lattice constants, thermal expansion coefficients and other physical characteristics of the second aluminum nitride layer and the gallium nitride thin film can be coordinated and connected; and preparing a first nano-structured suede and a second nano-structured suede to ensure that the grown first and second aluminum nitride layers are high in quality. By combining the above factors, the high quality of the gallium nitride thin film can be finally ensured.",H01L21/20; H01L21/208; H01L29/16,H10P14/29; H01L21/2018; H01L21/2018; H01L21/2018; H01L21/2085; H01L21/2085; H01L21/2085; H10D62/83; H10P14/20; H10P14/3251; H10P14/2905; H10P14/3216; H10P14/3416,186-412-120-295-410; 143-196-378-569-657; 164-644-018-094-705; 179-381-327-266-93X; 149-993-535-673-432; 000-398-608-473-897,,2018
149-079-866-068-793,Defect control and stability of DC bias in RF plasma-based substrate processing systems using molecular reactive purge gas,"A substrate processing system comprises an upper electrode and a lower electrode arranged in a processing chamber. A gas delivery system selectively delivers at least one of precursor, one or more deposition carrier gases and a post deposition purge gas. An RF generating system deposits film on the substrate by generating RF plasma in the processing chamber between the upper electrode and the lower electrode by supplying an RF voltage to one of the upper electrode and the lower electrode while the precursor and the one or more deposition carrier gases are delivered by the gas delivery system. A bias generating circuit selectively supplies a DC bias voltage to one of the upper electrode and the lower electrode while the post deposition purge gas is delivered by the gas delivery system. The post deposition purge gas that is delivered by the gas delivery system includes a molecular reactant gas.",C23C16/505; C23C16/44; C23C16/455; C23C16/458; H01J37/32,H10P72/00; C23C16/44; C23C16/505; H01L21/205; H01L21/205; H01L21/205; H10P72/04; C23C16/505; C23C16/4401; C23C16/45525; H01J37/32091; H01J37/3244; H01J37/32697; H01J37/32706; H10P72/0454; H10P72/0464; Y10S901/30; H01J37/3244; C23C16/4401; C23C16/45525; C23C16/505; H01J37/32174; H01J37/32532; H01J37/32623; H01J37/32733; Y10S901/30; C23C16/505; C23C16/4401; C23C16/45525; C23C16/458; H01J37/32091; H01J37/3244; H01J37/32697; H01J37/32706; Y10S901/30,087-479-349-277-947; 093-037-715-942-564; 058-099-267-011-815; 061-854-132-345-900; 116-032-167-991-567; 098-012-471-654-929; 017-061-421-642-164; 027-991-247-919-351; 045-718-698-830-060; 046-622-255-682-986; 113-052-300-534-605; 198-332-700-056-083; 038-322-579-941-943; 089-391-179-431-097; 094-500-329-149-929; 048-852-107-323-179; 067-552-770-652-977; 047-703-494-007-006; 083-740-308-319-080; 145-521-925-735-976; 160-255-567-374-190; 159-324-438-690-913; 101-945-907-669-824; 102-347-910-788-740; 145-988-446-458-595; 127-793-486-997-873; 124-002-096-471-507; 089-351-794-319-56X; 115-201-962-851-801; 148-574-052-894-705; 008-547-356-078-82X; 046-827-319-211-470; 091-016-037-496-386; 145-289-888-949-305; 119-577-602-629-992; 195-349-432-237-452; 038-614-760-412-805; 144-676-916-084-227; 066-149-687-429-145; 038-785-914-872-49X; 193-120-071-406-960; 118-480-440-166-827; 051-094-860-335-610; 095-536-033-043-675; 151-981-035-207-543; 006-556-326-933-508; 024-034-084-583-203; 093-465-725-476-975; 020-088-517-938-89X; 077-585-716-205-694; 152-989-956-572-257; 006-314-736-477-953; 170-458-409-868-649; 102-823-162-921-140; 156-347-517-060-04X; 116-616-222-318-99X; 191-559-911-795-531; 019-028-940-820-311; 193-237-477-670-541; 191-447-119-953-544; 122-193-397-303-533; 005-335-537-929-757; 185-978-637-234-932; 189-669-960-083-085; 188-788-087-359-643; 091-474-448-253-264; 081-425-722-901-049; 120-070-857-115-005; 078-859-405-597-83X; 133-035-049-857-826; 060-605-577-918-51X; 171-957-514-582-936; 017-824-096-949-236; 045-843-310-204-227; 191-429-086-522-561; 161-845-026-781-160; 178-787-016-004-354; 069-590-736-973-806; 101-017-710-752-585; 074-077-602-196-566; 010-171-974-201-652; 170-122-509-571-528; 122-915-197-184-666; 013-427-621-942-231; 137-255-087-202-61X; 070-579-047-329-01X; 162-206-622-110-377; 052-983-449-259-853; 184-197-860-805-832; 132-100-549-615-032; 127-239-870-575-554; 049-676-022-687-033; 190-423-864-000-281; 186-348-529-720-212; 010-611-920-321-364; 192-787-828-766-626; 183-277-374-500-084; 177-679-834-530-706; 020-789-491-158-626; 139-820-831-594-407; 127-876-011-435-31X; 009-429-072-891-295; 050-229-352-120-41X; 108-638-917-485-863; 142-707-933-391-110; 158-658-358-617-891; 077-362-721-715-308; 096-246-067-108-693; 096-364-657-022-344; 061-481-982-702-637,048-382-663-605-501; 002-450-558-076-612; 045-110-857-752-835,2018
057-555-119-868-868,"Silicon carbide semiconductor substrate, method for manufacturing silicon carbide semiconductor substrate, and method for manufacturing silicon carbide semiconductor device",A silicon carbide semiconductor substrate includes: a base substrate that has a main surface having an outer diameter of not less than 100 mm and that is made of single-crystal silicon carbide; and an epitaxial layer formed on the main surface. The silicon carbide semiconductor substrate has an amount of warpage of not less than −100 μm and not more than 100 μm when a substrate temperature is a room temperature and has an amount of warpage of not less than −1.5 mm and not more than 1.5 mm when the substrate temperature is 400° C.,H01L29/36; H01L21/02; H01L21/04; H01L21/306; H01L21/3065; H01L21/311; H01L29/06; H01L29/16; H01L29/66; H01L29/78,H10P14/20; H01L21/2053; H01L21/2053; H01L21/2053; H10D30/60; H10D62/10; H10D62/81; H10P30/204; H10P30/208; H10P14/3408; H10D12/031; H10D30/665; H10D62/106; H10D62/8325; H10P14/24; H10P14/2904; H10P14/2924; H10P30/2042; H10P30/222; H10P50/00; H10P90/00; H10D62/8325; H10D12/031; H10D30/665; H10D62/106; H10P14/24; H10P14/2904; H10P14/2924; H10P14/3408; H10P14/6308; H10P14/6322; H10P30/2042; H10P30/21; H10P30/222; H10P50/00; H10P50/242; H10P50/283; H10P52/402; H10P90/00,164-323-906-686-381; 154-137-473-098-151; 134-447-438-534-462; 118-294-232-271-738; 057-797-059-805-794; 174-908-694-247-294; 156-106-889-349-744; 038-040-572-650-726; 027-360-700-107-933; 098-838-623-937-233; 018-335-345-512-393; 026-333-662-628-374,170-917-275-745-335,2018
169-327-509-029-927,DEPOSITION APPARATUS,"The technical objective of the present invention is to provide a deposition apparatus capable of protecting a surface of a substrate from a contaminant attached to a deposition nozzle. To this end, a deposition apparatus of the present invention, which is a deposition apparatus for depositing one or more thin film-forming materials on a substrate, comprises: a first linear evaporation source having a first conductance tube in which a plurality of deposition nozzles for spraying a first thin film-forming material onto the substrate are arranged long in a first direction; a fixed shielding member comprising a passage region which is provided between the first conductance tube and the substrate to pass a portion of the sprayed first thin film-forming material onto the substrate, and a shielding region which blocks the remaining portion of the first thin film-forming material; and a first contamination preventing member, provided in the fixed shielding member, for preventing a contaminant attached to at least one deposition nozzle from among the plurality of deposition nozzles from moving to the substrate.",C23C14/56; C23C14/24; C23C14/54; H01L21/02; H01L21/203,C23C14/543; C23C14/24; C23C14/564; C23C14/243; C23C14/54; C23C14/545; C23C14/568; H01L21/203; H01L21/203; H01L21/203; H10P14/22,031-159-802-980-08X; 159-067-200-237-639; 075-412-700-228-957; 114-720-410-646-963; 110-725-250-751-103,,2018
181-620-621-309-205,Bi-layer metal deposition in silicide formation,"A method includes performing a first sputtering to form a first metal film on a surface of a semiconductor region. The first sputtering is performed using a first ion energy. The method further includes performing a second sputtering to form a second metal film over and contacting the first metal film, wherein the first and the second metal films includes a same metal. The second sputtering is performed using a second ion energy lower than the first ion energy. An annealing is performed to react the first and the second metal films with the semiconductor region to form a metal silicide.",H01L21/00; H01L21/285; H01L21/3205; H01L21/477; H01L21/768; H01L29/417; H01L29/66,H10W20/01; C23C14/34; H01L21/203; H01L21/203; H01L21/203; H10D30/024; H10D30/6219; H10D30/024; H10D30/6219; H10D64/0112; H10D64/01125; H10W20/033; H10W20/047; H10W20/069; H10D30/0212; H10D30/024; H10D30/6219; H10D64/0112; H10P14/414; H10P95/90; H10W20/033; H10W20/038; H10W20/047; H10W20/069; H10W20/083,040-230-034-984-437; 119-585-087-148-237; 198-364-297-706-766; 032-348-598-438-224; 029-446-505-449-583; 108-894-388-004-050; 092-643-050-810-826; 179-336-527-259-571; 067-500-797-490-635; 077-010-944-353-560; 164-898-104-625-824; 119-160-641-451-978; 096-435-625-660-11X; 136-087-094-351-246; 064-435-188-479-281,,2018
119-183-842-696-535,Cyclic sequential processes for forming high quality thin films,"Methods are described for a cyclical deposition and curing process. More particularly, the implementations described herein provide a cyclic sequential deposition and curing process for filling features formed on a substrate. Features are filled to ensure electrical isolation of features in integrated circuits formed on a substrate. The processes described herein use flowable film deposition processes that have been effective in reducing voids or seams produced in features formed on a substrate. However, conventional gap-filling methods using flowable films typically contain dielectric materials that have undesirable physical and electrical properties. In particular, film density is not uniform, film dielectric constant varies across the film thickness, film stability is not ideal, film refractive index is inconsistent, and resistance to dilute hydrofluoric acid (DHF) is not ideal in conventional flowable films. The cyclic sequential deposition and curing processes address the issues described herein to create films with higher quality and increased lifetime.",B05D3/06; C23C16/04; C23C16/30; C23C16/34; C23C16/36; C23C16/40; C23C16/48; C23C16/505,H01L21/205; H01L21/205; H01L21/205; C23C16/50; C23C16/045; C23C16/308; C23C16/345; C23C16/36; C23C16/401; C23C16/505; C23C16/56; C23C16/045; C23C16/345; C23C16/36; C23C16/482; C23C16/505; C23C16/045; C23C16/308; C23C16/345; C23C16/36; C23C16/401; C23C16/402; C23C16/483; C23C16/505; C23C16/56,130-074-599-177-203; 011-257-840-636-46X; 032-594-062-274-931; 046-956-665-707-728; 172-691-290-997-673; 139-107-447-042-09X; 102-662-585-277-292; 131-464-289-163-324; 193-072-227-667-013; 139-995-227-309-184; 153-018-701-676-147; 124-455-199-546-008; 069-914-998-973-636; 045-574-441-050-966; 064-741-108-540-026; 153-836-779-813-863; 093-371-406-553-526; 177-805-527-747-360; 170-755-659-433-745; 027-040-062-391-569; 164-362-877-590-488; 154-595-314-346-056; 091-981-772-001-268; 143-569-774-072-860,178-166-114-254-347,2018
178-576-702-742-63X,"Charge transfer salt, electronic device and method of forming same",A charge-transfer salt formed from a material comprising a repeat unit of formula (I) and an n-dopant: wherein BG is a backbone group of the repeat unit; R1 is a ionic substituent comprising at leastone cationic or anionic group; n is at least 1; R2 is a non-ionic substituent; and m is 0 or a positive integer; the material further comprising a counterion balancing the charge of the cationic or anionic group.,C08G61/02; H10K99/00; C08G61/10; H01B1/12,C08G61/02; C07D235/18; C08G2261/124; C08G2261/1412; C08G2261/1424; C08G2261/1426; C08G2261/143; C08G2261/148; C08G2261/314; C08G2261/3142; C08G2261/411; C08G2261/514; C08G2261/5222; C08G2261/792; C08G2261/95; C08L2205/02; C09K11/06; H01B1/128; H10K50/165; H10K50/171; H10K71/12; H10K71/15; H10K85/111; H10K85/115; H10K85/611; C07D235/14; C09K11/06; H01L51/5052; H01L51/5052; H01L51/5052; H10K50/171; H10K71/15; H10K85/141; H10K85/6572; C07D235/18; C08G61/02; C08G2261/143; C08G2261/514; C08G2261/5222; C08L65/00; C08L101/025; H10K50/171; H10K71/15; H10K85/111; H10K85/115; H10K85/6572; C08G61/02; C07D235/18; C08G2261/1424; C08G2261/1426; C08G2261/143; C08G2261/148; C08G2261/3142; C08G2261/514; C08G2261/95; C08L101/025; C09K11/06; H01B1/128; H10K50/171; H10K71/00; H10K71/15; H10K71/441; H10K85/115; H10K85/611; H10K85/6572; H10K2101/30; H10K2102/103,135-444-484-149-138; 163-541-744-477-243; 108-995-683-883-791; 005-635-426-184-064,,2018
110-241-321-765-844,"DOPANT, CHARGE TRANSFER SALT AND ORGANIC ELECTRONIC DEVICE","A compound of formula (I): (Core)n-(X)m wherein Core is a core group; n is 0 and m is 1, or n is 1 and m is at least 1; and X is a group of formula (II): wherein: R1, R3 and R5 are each independentlyH or a substituent; R2 and R4 are each a substituent; one of R1-R5 is a direct bond or divalent linking group linking the group of formula (II) to Core in the case where n is 1; x and y are 0, 1, 2, 3or 4; and the compound of formula (I) is substituted with at least one ionic substituent. The compound may be used as an n-dopant to dope an organic semiconductor.",C07D235/18; H10K99/00; C08G61/02; C08G61/10; H01B1/12,C08G61/02; C07D235/18; C08G2261/124; C08G2261/1412; C08G2261/1424; C08G2261/1426; C08G2261/143; C08G2261/148; C08G2261/314; C08G2261/3142; C08G2261/411; C08G2261/514; C08G2261/5222; C08G2261/792; C08G2261/95; C08L2205/02; C09K11/06; H01B1/128; H10K50/165; H10K50/171; H10K71/12; H10K71/15; H10K85/111; H10K85/115; H10K85/611; C07D235/14; C09K11/06; H01L51/5052; H01L51/5052; H01L51/5052; H10K50/171; H10K71/15; H10K85/141; H10K85/6572; C07D235/18; C08G61/02; C08G2261/143; C08G2261/514; C08G2261/5222; C08L65/00; C08L101/025; H10K50/171; H10K71/15; H10K85/111; H10K85/115; H10K85/6572; C08G61/02; C07D235/18; C08G2261/1424; C08G2261/1426; C08G2261/143; C08G2261/148; C08G2261/3142; C08G2261/514; C08G2261/95; C08L101/025; C09K11/06; H01B1/128; H10K50/171; H10K71/00; H10K71/15; H10K71/441; H10K85/115; H10K85/611; H10K85/6572; H10K2101/30; H10K2102/103,086-580-429-614-712; 177-220-200-763-381; 199-065-482-861-633; 150-212-069-870-148; 107-553-138-669-306; 037-544-922-791-522; 108-995-683-883-791; 182-243-173-416-810; 005-635-426-184-064; 127-538-304-657-053; 068-405-100-741-782,135-146-397-920-996; 113-969-962-590-424,2018
139-483-907-785-118,Graphene catalytic substrate corrosion liquid and substrate corrosion liquid method,"The invention provides a graphene catalytic substrate corrosion liquid and a substrate corrosion method. A multi-solution compound effect is employed, no bubble is generated during the substrate corrosion process, no damage to the completeness of graphene is generated, the completeness of a graphene layer cannot be damaged by the corrosion liquid, and more importantly, the prepared graphene is pure without impurity and has favorable performance.",H01L21/205,H01L21/205; H01L21/205; H01L21/205,179-303-221-032-330; 155-533-647-926-131; 070-838-526-884-84X; 080-493-476-310-291; 040-332-233-415-605,189-868-558-891-22X; 156-001-809-135-623; 169-459-677-453-975; 077-056-144-028-229,2018
124-092-218-205-699,WAFER ROTATING APPARATUS,"The present invention relates to a wafer rotating apparatus, comprising: a base provided inside a chemical vapor deposition device for forming a thin film on a wafer; a susceptor rotationally installed on the base; and a satellite rotationally mounted on the susceptor, on which the wafer is seated. The base discharges working gas, the susceptor is rotated by the working gas discharged from the base, and the satellite is rotated by the working gas rotating the susceptor. Thereby, a structure of the wafer rotating apparatus is simplified, a manufacturing cost is reduced, restrictions on a material of the susceptor are removed, and thickness of the susceptor can be reduced.",H01L21/687; H01L21/205; H01L21/683,H10P72/78; H10P72/7618; H10P72/7621; H10P72/7618; H01L21/205; H01L21/205; H01L21/205; H10P72/74; H10P72/7624; H10P72/78,068-051-827-219-607; 142-565-343-669-96X; 133-608-718-731-901; 062-875-747-440-620; 127-910-424-440-412; 098-416-710-087-337; 126-528-097-425-501; 126-528-097-425-501,056-520-939-464-23X,2018
